2.00cGubtBAhG9FEcf2f744601CkyoTB
data_with_location_2: 3096
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.276708" , "121.581945" , "八号桥"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.209032" , "121.488499" , "八号桥二期创意园区"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.095614" , "120.988062" , "报国寺"
ScenicTrue: 2014-10-22 23:17:54 ; " , "30.823744" , "121.575717" , "奉新海滩"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.243748" , "121.391214" , "公元2050/2500未来生活体验馆"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.134514" , "121.497373" , "浦东棒垒球/高尔夫体育公园"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.206051" , "121.387921" , "上海虹桥当代艺术馆?"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.194383" , "121.498273" , "世博庆典广场"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.266253" , "121.407512" , "松沪抗战十九路军军部遗址"
ScenicTrue: 2014-10-22 23:17:54 ; " , "30.613913" , "121.632001" , "滩浒岛"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.239174" , "121.489606" , "万国博览建筑群?"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.233801" , "121.473075" , "五卅运动纪念碑"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.196229" , "121.44139" , "徐光启墓/纪念馆"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.297137" , "121.313647" , "云翔寺"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.231089" , "121.454076" , "张爱玲故居"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.274525" , "121.097089" , "赵屯草莓基地"
ScenicTrue: 2014-10-22 23:17:54 ; " , "31.320115" , "121.533977" , "中国武术博物馆"
2014-10-22 23:17:54 : finish!!!!
